Categoria,Tipo,Critério-B,Nº Cat,Categoria-Tipo,Ref #,Categoria-Conceito,Categoria-Exemplos,Categoria-Descrição,Tipo-Conceito,Tipo-Exemplos,Tipo-Descrição,Critério-B-Conceito,Pergunta,1 - Sem barreiras,5 - Com barreiras impeditivas
Busca e Acesso,Procurar site ou aplicativo,Acessibilidade das informações,1,Bus - Procurar site ou aplicativo,1,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento da pessoa usuária relacionado a identificar e buscar a plataforma digital mais adequada para se conectar com o serviço.,ex: localizar o site do INSS.,"É o comportamento da pessoa usuária relacionado a identificar e buscar a plataforma digital mais adequada para se conectar com o serviço. ex: localizar o site do INSS.",Informações importantes devem ser fáceis de encontrar e compreender.,É fácil encontrar o link para o processo ou serviço?,O link é extremamente fácil de encontrar.,"O link é extremamente difícil de encontrar, mesmo com uma busca exaustiva."
Busca e Acesso,Procurar site ou aplicativo,Autonomia,1,Bus - Procurar site ou aplicativo,2,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento da pessoa usuária relacionado a identificar e buscar a plataforma digital mais adequada para se conectar com o serviço.,ex: localizar o site do INSS.,"É o comportamento da pessoa usuária relacionado a identificar e buscar a plataforma digital mais adequada para se conectar com o serviço. ex: localizar o site do INSS.","Refere-se à apresentação de interfaces que 'fazem sentido' para a pessoa usuária, proporcionando uma experiência mais fluida e satisfatória.",A pessoa usuária consegue acessar o serviço de maneira independente?,"A pessoa usuária consegue localizar o serviço de forma totalmente independente, sem qualquer dificuldade","A pessoa usuária não consegue localizar o serviço de forma alguma, necessitando de ajuda do suporte do serviço ou de terceiros."
Busca e Acesso,Acessar serviço,Autonomia,2,Bus - Acessar serviço,1,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento da pessoa usuária que envolve estabelecer uma conexão com site ou aplicativo do serviço.,ex: entrar na página do INSS.,"É o comportamento da pessoa usuária que envolve estabelecer uma conexão com site ou aplicativo do serviço. ex: entrar na página do INSS.","Refere-se à apresentação de interfaces que 'fazem sentido' para o usuário, proporcionando uma experiência mais fluida e satisfatória.",É fácil acessar o site ou aplicativo?,O acesso é extremamente fácil e intuitivo. A interface inicial é clara com navegação fluida.,"O acesso é extremamente complicado. O site ou aplicativo é confuso, lento ou apresenta muitos erros."
Busca e Acesso,Acessar serviço,Conteúdo,2,Bus - Acessar serviço,2,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento da pessoa usuária que envolve estabelecer uma conexão com site ou aplicativo do serviço.,ex: entrar na página do INSS.,"É o comportamento da pessoa usuária que envolve estabelecer uma conexão com site ou aplicativo do serviço. ex: entrar na página do INSS.","Refere-se às informações que a pessoa usuária encontra no site ou aplicativo do serviço, desde textos e imagens até dados e funcionalidades. Um bom conteúdo é relevante, preciso, atualizado e organizado de forma lógica, facilitando a busca e a compreensão das informações.",Há informações claras e suficientes no site ou no aplicativo para a pessoa usuária tomar uma decisão informada e/ou saber o que fazer a seguir?,"As informações são abundantes, relevantes, bem organizadas e fáceis de encontrar. A pessoa usuária se sente segura e confiante para tomar uma decisão.","Não há informações relevantes ou elas são incompletas, imprecisas e confusas, impossibilitando qualquer decisão posterior."
Busca e Acesso,Acessar serviço,Compatibilidade,2,Bus - Acessar serviço,3,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento da pessoa usuária que envolve estabelecer uma conexão com site ou aplicativo do serviço.,ex: entrar na página do INSS.,"É o comportamento da pessoa usuária que envolve estabelecer uma conexão com site ou aplicativo do serviço. ex: entrar na página do INSS.","Refere-se à capacidade de diferentes tecnologias e sistemas interagirem de forma eficaz, garantindo que as ferramentas digitais estejam ao alcance de todos, independentemente do dispositivo ou sistema operacional utilizado.",O acesso ao serviço depende que a pessoa usuária disponha de recursos tecnológicos muito específicos?,"Qualquer pessoa usuária, com recursos tecnológicos básicos, podem acessar o serviço.",Somente pessoas usuárias com recursos tecnológicos específicos conseguem acessá-lo.
Busca e Acesso,Verificar elegibilidade,Autonomia,3,Bus - Verificar elegibilidade,1,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento de buscar identificar se um indivíduo ou instituição cumpre os requisitos necessários para utilizar um serviço ou acessar um benefício.,ex: checar requisitos para solicitar desconto da taxa de inscrição de um concurso público.,"É o comportamento de buscar identificar se um indivíduo ou instituição cumpre os requisitos necessários para utilizar um serviço ou acessar um benefício.ex: checar requisitos para solicitar desconto da taxa de inscrição de um concurso público.","Refere-se à apresentação de interfaces que 'fazem sentido' para o usuário, proporcionando uma experiência mais fluida e satisfatória.",Os critérios de elegibilidade para o acesso ao serviço são facilmente encontrados?,Os critérios de elegibilidade são apresentados de imediato. A pessoa usuária não precisa procurar por eles.,"Os critérios de elegibilidade são significativamente difíceis de encontrar. A informação está oculta, é ambígua ou não existe."
Busca e Acesso,Verificar elegibilidade,Conteúdo,3,Bus - Verificar elegibilidade,2,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento de buscar identificar se um indivíduo ou instituição cumpre os requisitos necessários para utilizar um serviço ou acessar um benefício.,ex: checar requisitos para solicitar desconto da taxa de inscrição de um concurso público.,"É o comportamento de buscar identificar se um indivíduo ou instituição cumpre os requisitos necessários para utilizar um serviço ou acessar um benefício.ex: checar requisitos para solicitar desconto da taxa de inscrição de um concurso público.","Refere-se às informações que a pessoa usuária encontra no site ou aplicativo do serviço, desde textos e imagens até dados e funcionalidades. Um bom conteúdo é relevante, preciso, atualizado e organizado de forma lógica, facilitando a busca e a compreensão das informações.",Há informações claras e suficientes no site ou no aplicativo para a pessoa usuária tomar uma decisão informada e/ou saber o que fazer a seguir?,"Os critérios são apresentados de forma simples e direta, utilizando uma linguagem acessível e exemplos práticos, com todas as informações necessárias para a pessoa usuária saber se é ou não elegível.",Os critérios são difíceis de compreender. A linguagem é complexa e ambígua e a pessoa usuária precisa de ajuda para prosseguir.
Busca e Acesso,Verificar elegibilidade,Apoio proativo,3,Bus - Verificar elegibilidade,3,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento de buscar identificar se um indivíduo ou instituição cumpre os requisitos necessários para utilizar um serviço ou acessar um benefício.,ex: checar requisitos para solicitar desconto da taxa de inscrição de um concurso público.,"É o comportamento de buscar identificar se um indivíduo ou instituição cumpre os requisitos necessários para utilizar um serviço ou acessar um benefício.ex: checar requisitos para solicitar desconto da taxa de inscrição de um concurso público.",Refere-se a iniciativa de prever e solucionar problemas antes mesmo que os usuários os identifiquem.,"Recursos automáticos são disponibilizados para a pessoa usuária verificar ou tirar dúvida sobre sua elegibilidade, como chat, perguntas e respostas, etc?","Há recursos interativos e instantâneos, como verificador de elegibilidade online, chatbots inteligentes e assistentes virtuais que ajudam a pessoa usuária a verificar sua elegibilidade de forma transparente.",Não há nenhum nenhum recurso interativo e instantâneo disponível para a pessoa usuária verificar ou tirar dúvida sobre sua elegibilidade.
Busca e Acesso,Realizar login,Eficiência,4,Bus - Realizar login,1,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento da pessoa usuária de autenticar-se em uma plataforma digital para ter acesso a funcionalidades e recursos restritos.,"ex: - realizar reconhecimento facial ou digital;- utilizar autenticação social (via redes sociais).","É o comportamento da pessoa usuária de autenticar-se em uma plataforma digital para ter acesso a funcionalidades e recursos restritos. ex: - realizar reconhecimento facial ou digital;- utilizar autenticação social (via redes sociais).","Refere-se a realização de tarefas de forma rápida, precisa e de forma a prever e minimizar de erros.",É fácil redefinir senhas esquecidas?,O processo para redefinir a senha é muito fácil (ex. digitar o endereço de e-mail ou nome e receber link para configurar nova senha). É muito raro alguma pessoa usuária entrar em contato com a equipe para obter suporte na redefinição de senha.,"O processo para redefinir a senha é difícil e leva muito tempo devido a requisitos confusos, erros ou demora. A maioria das pessoas usuárias entra em contato com a equipe para obter suporte na redefinição de senha."
Busca e Acesso,Realizar login,Conteúdo,4,Bus - Realizar login,2,"Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações.","ex: - inserir palavras-chave para encontrar informações específicas;   - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.","Envolve o conjunto de comportamentos que a pessoa usuária realiza para localizar, acessar e verificar informações. ex: - inserir palavras-chave para encontrar informações específicas; - navegar pelos menus principais e secundários do site ou aplicativo; - ler e verificar informações apresentadas; - realizar login.",É o comportamento da pessoa usuária de autenticar-se em uma plataforma digital para ter acesso a funcionalidades e recursos restritos.,"ex: - realizar reconhecimento facial ou digital;- utilizar autenticação social (via redes sociais).","É o comportamento da pessoa usuária de autenticar-se em uma plataforma digital para ter acesso a funcionalidades e recursos restritos. ex: - realizar reconhecimento facial ou digital;- utilizar autenticação social (via redes sociais).","Refere-se às informações que a pessoa usuária encontra no site ou aplicativo do serviço, desde textos e imagens até dados e funcionalidades. Um bom conteúdo é relevante, preciso, atualizado e organizado de forma lógica, facilitando a busca e a compreensão das informações.","As solicitações necessárias para login, como nome de usuário e senha, estão claras?","São apresentadas informações úteis e claras que facilitam a realização do login, como rótulos para o campo de nome de usuário (ex. se o nome de usuário for um e-mail, o campo é rotulado como 'e-mail') e requisitos de senha na tela de login (ex. ""senha com 8-15 caracteres"").","Não há informações úteis e claras para a realização do login, como rótulo para o campo de nome de usuário e requisitos de senha."
